candidate_id,status,max_model_len,max_num_seqs,max_num_batched_tokens,batch_policy,risk_tier,load_skip_reason,token_budget_m,startup_seconds,kv_cache_tokens,reported_concurrency,system_memory_drop_gib,tegrastats_baseline_ram_used_gib,tegrastats_ram_delta_gib,tegrastats_max_ram_used_gib,tegrastats_max_temp_c,tegrastats_samples,tegrastats_gpu_field_seen,idle_memory_gib,idle_memory_peak_gib,load_memory_gib,load_memory_peak_gib,load_successes,load_errors,completion_tok_s,total_tok_s,latency_p50,latency_p95
ctx98304-seq2-match_context,load_complete,98304,2,98304,match_context,medium,,0.196608,161.212,331165,3.37,65.079,8.387,64.045,72.432,72.4,173,False,4.758,11.768,4.809,11.768,2,0,32.502,949.154,3.92,3.935
ctx98304-seq2-small,load_complete,98304,2,8192,small,medium,,0.196608,145.966,3130116,31.84,81.33,8.418,81.244,89.662,71.1,158,False,3.919,10.821,3.974,10.821,2,0,32.139,938.548,3.965,3.98
ctx196608-seq1-match_context,startup_service_exit,196608,1,196608,match_context,extreme,,0.196608,125.889,,,43.354,8.396,49.978,58.374,65.6,127,False,,,,,,,,,,
ctx196608-seq1-small,startup_only,196608,1,8192,small,extreme,risk_guard(extreme),0.196608,146.121,4145012,21.08,81.411,8.356,81.294,89.65,65.4,154,False,3.886,10.821,,,,,,,,
ctx100000-seq2-match_context,startup_only,100000,2,100000,match_context,high,risk_guard(high),0.2,156.2,327611,3.28,64.483,8.467,63.459,71.926,68.1,164,False,4.743,11.784,,,,,,,,
ctx100000-seq2-small,startup_only,100000,2,8192,small,high,risk_guard(high),0.2,145.954,3155207,31.55,81.05,8.412,80.988,89.4,66.6,154,False,3.919,10.82,,,,,,,,
ctx8192-seq32-match_context,startup_only,8192,32,8192,match_context,high,risk_guard(high),0.262144,156.511,550824,67.24,81.151,8.312,81.124,89.436,66.6,165,False,3.846,10.838,,,,,,,,
ctx8192-seq32-small,startup_only,8192,32,8192,small,high,risk_guard(high),0.262144,140.971,552700,67.47,81.365,8.312,81.269,89.58,65.0,149,False,3.718,10.821,,,,,,,,
ctx16384-seq16-match_context,load_complete,16384,16,16384,match_context,medium,,0.262144,150.975,533051,32.53,80.14,8.309,79.97,88.278,70.9,164,False,3.842,10.9,3.903,10.9,16,0,224.513,6556.476,4.555,4.558
ctx16384-seq16-small,load_complete,16384,16,8192,small,medium,,0.262144,145.966,914364,55.81,80.938,8.319,81.149,89.469,67.3,159,False,3.842,10.82,3.903,10.82,16,0,228.173,6663.368,4.482,4.486
ctx32768-seq8-match_context,load_complete,32768,8,32768,match_context,medium,,0.262144,151.067,497428,15.18,78.478,8.287,77.321,85.608,65.6,162,False,3.872,11.01,3.897,11.01,8,0,159.781,4666.109,3.202,3.203
ctx32768-seq8-small,load_complete,32768,8,8192,small,medium,,0.262144,146.653,1598934,48.8,81.503,8.37,81.419,89.789,66.3,158,False,3.833,10.836,3.884,10.836,8,0,149.685,4371.262,3.397,3.417
ctx65536-seq4-match_context,load_complete,65536,4,65536,match_context,medium,,0.262144,156.124,414145,6.32,71.255,8.298,70.71,79.008,67.6,168,False,4.303,11.263,4.322,11.263,4,0,75.176,2195.364,3.39,3.404
ctx65536-seq4-small,load_complete,65536,4,8192,small,medium,,0.262144,145.951,2531127,38.62,81.209,8.399,81.294,89.693,70.9,158,False,3.974,10.836,3.936,10.836,4,0,76.715,2240.319,3.323,3.336
ctx131072-seq2-match_context,startup_only,131072,2,131072,match_context,high,risk_guard(high)+capacity_guard,0.262144,166.562,251108,1.92,60.77,8.248,59.897,68.146,72.0,175,False,4.746,11.805,,,,,,,,
ctx131072-seq2-small,startup_only,131072,2,8192,small,high,risk_guard(high),0.262144,146.182,3564647,27.2,82.331,8.422,81.407,89.829,72.3,154,False,4.393,11.163,,,,,,,,
ctx262144-seq1-match_context,startup_service_exit,262144,1,262144,match_context,extreme,,0.262144,125.823,,,61.142,8.914,59.584,68.498,69.8,127,False,,,,,,,,,,
ctx262144-seq1-small,startup_only,262144,1,8192,small,extreme,risk_guard(extreme),0.262144,145.986,4513434,17.22,81.181,8.523,81.146,89.67,63.5,154,False,3.886,10.82,,,,,,,,
ctx16384-seq24-match_context,startup_only,16384,24,16384,match_context,high,risk_guard(high),0.393216,151.069,532339,32.49,79.878,8.399,79.789,88.188,65.3,159,False,3.878,10.902,,,,,,,,
ctx16384-seq24-small,startup_only,16384,24,8192,small,high,risk_guard(high),0.393216,151.873,914769,55.83,81.183,8.495,81.187,89.682,65.4,160,False,3.876,10.823,,,,,,,,
ctx98304-seq4-match_context,startup_only,98304,4,98304,match_context,medium,capacity_guard,0.393216,156.484,330801,3.37,64.764,8.51,63.738,72.248,70.4,165,False,4.784,11.786,,,,,,,,
ctx98304-seq4-small,load_complete,98304,4,8192,small,medium,,0.393216,146.092,3142873,31.97,81.086,8.449,81.483,89.933,65.6,158,False,3.914,10.839,3.946,10.839,4,0,63.555,1856.014,4.027,4.027
ctx196608-seq2-match_context,startup_service_exit,196608,2,196608,match_context,extreme,,0.393216,125.823,,,50.873,8.451,50.26,58.711,66.1,127,False,,,,,,,,,,
ctx196608-seq2-small,startup_only,196608,2,8192,small,extreme,risk_guard(extreme),0.393216,146.268,4133253,21.02,81.76,8.75,80.812,89.562,67.9,155,False,4.206,10.979,,,,,,,,
ctx100000-seq4-match_context,startup_only,100000,4,100000,match_context,high,risk_guard(high)+capacity_guard,0.4,161.28,327923,3.28,64.57,8.51,63.624,72.134,72.5,169,False,4.816,11.786,,,,,,,,
ctx100000-seq4-small,startup_only,100000,4,8192,small,high,risk_guard(high),0.4,141.872,3146688,31.47,81.488,8.513,81.395,89.907,72.5,150,False,3.974,10.839,,,,,,,,
ctx16384-seq32-match_context,startup_only,16384,32,16384,match_context,high,risk_guard(high),0.524288,151.096,533960,32.59,79.942,8.622,79.779,88.401,67.4,159,False,3.908,10.902,,,,,,,,
ctx16384-seq32-small,startup_only,16384,32,8192,small,high,risk_guard(high),0.524288,151.129,916703,55.95,81.35,8.564,81.264,89.828,71.9,159,False,3.922,10.839,,,,,,,,
ctx32768-seq16-match_context,startup_only,32768,16,32768,match_context,medium,capacity_guard,0.524288,151.058,494584,15.09,77.203,8.494,76.909,85.403,67.0,159,False,3.951,11.011,,,,,,,,
ctx32768-seq16-small,load_complete,32768,16,8192,small,medium,,0.524288,146.943,1592496,48.6,80.849,8.495,81.278,89.773,67.7,160,False,3.845,10.822,3.907,10.822,16,0,222.045,6484.4,4.606,4.608
ctx65536-seq8-match_context,startup_only,65536,8,65536,match_context,medium,capacity_guard,0.524288,161.161,414755,6.33,71.235,8.465,70.732,79.197,73.2,169,False,4.097,11.285,,,,,,,,
ctx65536-seq8-small,load_complete,65536,8,8192,small,medium,,0.524288,147.134,2532854,38.65,82.375,8.573,81.439,90.013,65.4,159,False,4.019,10.93,4.071,10.93,8,0,147.757,4314.963,3.462,3.464
ctx131072-seq4-match_context,startup_only,131072,4,131072,match_context,high,risk_guard(high)+capacity_guard,0.524288,161.255,253598,1.93,60.612,8.5,59.582,68.082,79.1,169,False,4.754,11.774,,,,,,,,
ctx131072-seq4-small,startup_only,131072,4,8192,small,high,risk_guard(high),0.524288,146.161,3578729,27.3,81.33,8.549,81.33,89.879,72.8,154,False,3.959,10.823,,,,,,,,
ctx262144-seq2-match_context,startup_service_exit,262144,2,262144,match_context,extreme,,0.524288,125.825,,,60.74,8.469,60.534,69.003,65.1,127,False,,,,,,,,,,
ctx262144-seq2-small,startup_only,262144,2,8192,small,extreme,risk_guard(extreme),0.524288,141.168,4506382,17.19,81.044,8.692,81.06,89.752,72.3,150,False,3.922,10.823,,,,,,,,
ctx32768-seq24-match_context,startup_only,32768,24,32768,match_context,high,risk_guard(high)+capacity_guard,0.786432,151.079,492781,15.04,76.904,8.445,76.727,85.172,65.4,159,False,3.986,11.014,,,,,,,,
ctx32768-seq24-small,startup_only,32768,24,8192,small,high,risk_guard(high),0.786432,146.023,1596159,48.71,81.298,8.477,81.248,89.725,65.4,154,False,3.881,10.824,,,,,,,,
ctx98304-seq8-match_context,startup_only,98304,8,98304,match_context,medium,capacity_guard,0.786432,161.111,332980,3.39,65.19,8.448,64.291,72.739,77.1,169,False,4.662,11.772,,,,,,,,
ctx98304-seq8-small,load_complete,98304,8,8192,small,medium,,0.786432,146.028,3138301,31.92,80.871,8.546,81.183,89.729,66.5,158,False,3.823,10.825,3.873,10.825,8,0,147.571,4309.531,3.466,3.468
ctx196608-seq4-match_context,startup_service_exit,196608,4,196608,match_context,extreme,,0.786432,130.934,,,32.21,8.467,50.288,58.755,72.3,132,False,,,,,,,,,,
